:START_ID,:END_ID,:TYPE
country::IND,observation::IND::SH.DTH.NCOM.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DTH.COMM.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DTH.0509::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.ANM.CHLD.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.ALC.PCAP.FE.LI::2015,HAS_OBSERVATION
country::IND,observation::IND::SE.TER.ENRR::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.KLT.DINV.CD.WD::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.GSR.ROYL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.GSR.GNFS.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.GSR.CCIS.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BN.TRF.CURR.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BN.KAC.EOMS.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BN.FIN.TOTL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.TRF.PRVT.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.GSR.TRAN.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.GSR.MRCH.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.GSR.CMCP.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.PRD.LVSK.XD::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.TOTL.UR.K2::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.IRIG.AG.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.EL5M.UR.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.CROP.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.ARBL.HA::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.CON.FERT.PT.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.EHEX.CH.ZS::2015,HAS_OBSERVATION
